ID,List,Item,Condition,Matrix_num,Match,phrase_type,Preamble,meanRTperword,Correct,RT,Exp
5a01f5e49b760100013a682d,0,23,sp_rel,s,0,rel,The teacher who received the education certificates,0.0,1,715,EXP6
5a01f5e49b760100013a682d,0,52,filler,-,-,-,The lazy student,0.0,1,485,EXP6
5a01f5e49b760100013a682d,0,80,filler,-,-,-,The roses,0.0,1,391,EXP6
5a073f1c1a4c780001d9e894,0,67,filler,-,-,-,This short skirt,0.0,1,1419,EXP6
5a073f1c1a4c780001d9e894,0,82,filler,-,-,-,The icy wings,0.0,1,1267,EXP6
5a073f1c1a4c780001d9e894,0,38,filler,-,-,-,Some roosters,0.0,1,1425,EXP6
5a073f1c1a4c780001d9e894,0,45,filler,-,-,-,A hunter,0.0,0,1203,EXP6
5a073f1c1a4c780001d9e894,0,84,filler,-,-,-,A faulty zipper,0.0,1,1206,EXP6
5a073f1c1a4c780001d9e894,0,49,filler,-,-,-,A quiet librarian,0.0,1,1298,EXP6
5a073f1c1a4c780001d9e894,0,62,filler,-,-,-,The newspaper,0.0,0,1501,EXP6
5a073f1c1a4c780001d9e894,0,81,filler,-,-,-,These radios,0.0,1,1437,EXP6
5a073f1c1a4c780001d9e894,0,3,sp_prep,s,0,prep,The tire-eater in the carnival sideshows,0.0,0,1349,EXP6
5a073f1c1a4c780001d9e894,0,44,filler,-,-,-,This mad scientist,0.0,0,1327,EXP6
5a073f1c1a4c780001d9e894,0,9,pp_prep,p,1,prep,The superintendents of the technical schools,0.0,1,1305,EXP6
5a073f1c1a4c780001d9e894,0,83,filler,-,-,-,The kitchen sink,0.0,0,1500,EXP6
5a073f1c1a4c780001d9e894,0,68,filler,-,-,-,These churches,0.0,1,1340,EXP6
5a073f1c1a4c780001d9e894,0,5,pp_rel,p,1,rel,The security forces that patrolled the manufacturing plants,0.0,1,1150,EXP6
5a073f1c1a4c780001d9e894,0,54,filler,-,-,-,The bike,0.0,1,1365,EXP6
5a073f1c1a4c780001d9e894,0,7,sp_rel,s,0,rel,The charismatic leader who addressed the dissident groups,0.0,0,1501,EXP6
5a073f1c1a4c780001d9e894,0,74,filler,-,-,-,The coat,0.0,1,1320,EXP6
5a073f1c1a4c780001d9e894,0,10,ps_prep,p,0,prep,The memos from the junior executive,0.0,1,1403,EXP6
5a073f1c1a4c780001d9e894,0,47,filler,-,-,-,The unavoidable disaster,0.0,0,1500,EXP6
5a073f1c1a4c780001d9e894,0,73,filler,-,-,-,The broken printers,0.0,1,1280,EXP6
5a073f1c1a4c780001d9e894,0,8,ss_rel,s,1,rel,The advisor who directed the student,0.0,0,1512,EXP6
5a073f1c1a4c780001d9e894,0,65,filler,-,-,-,The chain,0.0,1,1390,EXP6
5a073f1c1a4c780001d9e894,0,6,ps_rel,p,0,rel,The confessions that involved the television preacher,0.0,1,1483,EXP6
5a073f1c1a4c780001d9e894,0,61,filler,-,-,-,A tight glove,0.0,1,1332,EXP6
5a073f1c1a4c780001d9e894,0,39,filler,-,-,-,Every child,0.0,0,1530,EXP6
5a073f1c1a4c780001d9e894,0,4,ss_prep,s,1,prep,The bright light in Doctor Smith's examination room,0.0,0,1236,EXP6
5a073f1c1a4c780001d9e894,0,79,filler,-,-,-,A closed drawer,0.0,1,1358,EXP6
5a073f1c1a4c780001d9e894,0,28,ss_prep,s,1,prep,The laboratory with the analog computer,0.0,1,1307,EXP6
5a073f1c1a4c780001d9e894,0,43,filler,-,-,-,All the cats,0.0,0,1501,EXP6
5a073f1c1a4c780001d9e894,0,70,filler,-,-,-,This shoe,0.0,0,1500,EXP6
5a073f1c1a4c780001d9e894,0,16,ss_rel,s,1,rel,The consultant who advised the firm,0.0,0,1500,EXP6
5a073f1c1a4c780001d9e894,0,64,filler,-,-,-,The rusty blades,0.0,1,1468,EXP6
5a073f1c1a4c780001d9e894,0,14,ps_rel,p,0,rel,The rebel soldiers who deserted the battle,0.0,0,1505,EXP6
5a073f1c1a4c780001d9e894,0,53,filler,-,-,-,The prickly thorns,0.0,1,1374,EXP6
5a073f1c1a4c780001d9e894,0,1,pp_prep,p,1,prep,The demo tapes from the popular rock singers,0.0,1,1260,EXP6
5a073f1c1a4c780001d9e894,0,42,filler,-,-,-,The farmers,0.0,0,1500,EXP6
5a073f1c1a4c780001d9e894,0,76,filler,-,-,-,The gooey filling,0.0,0,1145,EXP6
5a073f1c1a4c780001d9e894,0,31,sp_rel,s,0,rel,The Peace Corps volunteer who assisted the villages,0.0,0,1514,EXP6
5a073f1c1a4c780001d9e894,0,66,filler,-,-,-,The jackets,0.0,1,1486,EXP6
5a073f1c1a4c780001d9e894,0,26,ps_prep,p,0,prep,The applicants for the corporate scholarship,0.0,1,1472,EXP6
5a073f1c1a4c780001d9e894,0,36,filler,-,-,-,The slimy frog,0.0,0,1307,EXP6
5a073f1c1a4c780001d9e894,0,35,filler,-,-,-,The fire,0.0,1,1282,EXP6
5a073f1c1a4c780001d9e894,0,13,pp_rel,p,1,rel,The offices that belonged to the accountants,0.0,1,1454,EXP6
5a073f1c1a4c780001d9e894,0,57,filler,-,-,-,The wobbly leg,0.0,0,1500,EXP6
5a073f1c1a4c780001d9e894,0,27,sp_prep,s,0,prep,The editor of the history books,0.0,0,927,EXP6
5a073f1c1a4c780001d9e894,0,87,filler,-,-,-,Each fork,0.0,1,1312,EXP6
5a073f1c1a4c780001d9e894,0,63,filler,-,-,-,The cracked knob,0.0,0,1503,EXP6
5a073f1c1a4c780001d9e894,0,24,ss_rel,s,1,rel,The speaker who addressed the meeting,0.0,0,1501,EXP6
